property_id,title,city,location,property_type,bhk,price,area_sqft,floor,total_floors,parking,furnished,amenities,metro_distance_km,availability,description
PROP-1063,3 BHK Apartment in Urban Grandeur,Noida,Sector 137,Apartment,3,8900000,1510,5,10,True,Semi-Furnished,24x7 Security; Community Hall; CCTV; Visitor Parking; EV Charging; Gym; Jogging Track; Park; Children's Play Area; Clubhouse,1.6,Available Now,"Fictional 3 BHK apartment in Sector 137, Noida. 1510 sq ft home with semi-furnished interiors, dedicated parking, approximately 1.6 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1064,3 BHK Apartment in Garden View,Noida,Sector 150,Apartment,3,10700000,1920,15,20,True,Fully Furnished,Children's Play Area; CCTV; Visitor Parking; Gym; Swimming Pool; EV Charging; Community Hall; Jogging Track,5.6,Available in 30 Days,"Fictional 3 BHK apartment in Sector 150, Noida. 1920 sq ft home with fully furnished interiors, dedicated parking, approximately 5.6 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1065,3 BHK Penthouse in Elite Residency,Noida,Sector 120,Penthouse,3,10000000,1850,16,18,False,Semi-Furnished,CCTV; 24x7 Security; Clubhouse; Community Hall; Lift; Swimming Pool; Visitor Parking; Children's Play Area; Park; Intercom,3.4,Available in 30 Days,"Fictional 3 BHK penthouse in Sector 120, Noida. 1850 sq ft home with semi-furnished interiors, no dedicated parking, approximately 3.4 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1066,2 BHK Penthouse in Lakeview Towers,Noida,Sector 128,Penthouse,2,6650000,1240,17,18,True,Unfurnished,Swimming Pool; Children's Play Area; CCTV; 24x7 Security; Jogging Track; Park,5.9,Available in 60 Days,"Fictional 2 BHK penthouse in Sector 128, Noida. 1240 sq ft home with unfurnished interiors, dedicated parking, approximately 5.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1067,4 BHK Builder Floor in Modern Heights,Noida,Sector 74,Builder Floor,4,13750000,2750,10,28,False,Semi-Furnished,Jogging Track; Power Backup; 24x7 Security; EV Charging; Clubhouse; Park; Swimming Pool; Visitor Parking; Intercom,3.9,Available Now,"Fictional 4 BHK builder floor in Sector 74, Noida. 2750 sq ft home with semi-furnished interiors, no dedicated parking, approximately 3.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1068,2 BHK Apartment in Green Valley,Noida,Sector 62,Apartment,2,5650000,1250,1,10,True,Unfurnished,Visitor Parking; Intercom; Children's Play Area; EV Charging; Community Hall; Clubhouse,1.2,Available in 30 Days,"Fictional 2 BHK apartment in Sector 62, Noida. 1250 sq ft home with unfurnished interiors, dedicated parking, approximately 1.2 km from the nearest metro connection. Located near Noida with a range of community amenities."
PROP-1069,3 BHK Apartment in Noida Central,Noida,Sector 143,Apartment,3,7700000,1650,27,28,True,Unfurnished,Park; CCTV; Swimming Pool; Children's Play Area; Jogging Track; Clubhouse; 24x7 Security,4.1,Available Now,"Fictional 3 BHK apartment in Sector 143, Noida. 1650 sq ft home with unfurnished interiors, dedicated parking, approximately 4.1 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1070,3 BHK Apartment in Sky Gardens,Noida,Sector 134,Apartment,3,9600000,1740,22,32,True,Unfurnished,CCTV; Intercom; 24x7 Security; Clubhouse; Swimming Pool; Lift; Community Hall; Gym,4.9,Available in 30 Days,"Fictional 3 BHK apartment in Sector 134, Noida. 1740 sq ft home with unfurnished interiors, dedicated parking, approximately 4.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1071,2 BHK Builder Floor in Urban Grandeur,Noida,Sector 75,Builder Floor,2,7900000,1330,2,18,False,Semi-Furnished,Intercom; CCTV; Clubhouse; Gym; Park; Jogging Track; EV Charging; Visitor Parking; Power Backup; Children's Play Area,4.1,Available Now,"Fictional 2 BHK builder floor in Sector 75, Noida. 1330 sq ft home with semi-furnished interiors, no dedicated parking, approximately 4.1 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1072,3 BHK Apartment in Garden View,Noida,Sector 78,Apartment,3,7900000,1850,6,8,False,Semi-Furnished,Clubhouse; Community Hall; Gym; Power Backup; Jogging Track; Swimming Pool; Children's Play Area; EV Charging,3.5,Available in 30 Days,"Fictional 3 BHK apartment in Sector 78, Noida. 1850 sq ft home with semi-furnished interiors, no dedicated parking, approximately 3.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1073,2 BHK Apartment in Elite Residency,Noida,Sector 137,Apartment,2,8000000,1310,2,10,True,Fully Furnished,CCTV; Community Hall; Park; Intercom; Clubhouse; Power Backup; Lift,2.9,Available Now,"Fictional 2 BHK apartment in Sector 137, Noida. 1310 sq ft home with fully furnished interiors, dedicated parking, approximately 2.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1074,4 BHK Apartment in Lakeview Towers,Noida,Sector 150,Apartment,4,11700000,2600,3,28,True,Fully Furnished,Park; Power Backup; Community Hall; Clubhouse; Visitor Parking; Children's Play Area; Intercom; CCTV; EV Charging,4.8,Available in 60 Days,"Fictional 4 BHK apartment in Sector 150, Noida. 2600 sq ft home with fully furnished interiors, dedicated parking, approximately 4.8 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1075,4 BHK Apartment in Modern Heights,Noida,Sector 120,Apartment,4,16250000,2600,21,24,False,Semi-Furnished,Community Hall; Intercom; Clubhouse; Park; Jogging Track; Lift; EV Charging; Gym; CCTV; Visitor Parking,3.7,Available Now,"Fictional 4 BHK apartment in Sector 120, Noida. 2600 sq ft home with semi-furnished interiors, no dedicated parking, approximately 3.7 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1076,4 BHK Apartment in Green Valley,Noida,Sector 128,Apartment,4,16250000,2570,16,28,False,Semi-Furnished,Lift; CCTV; EV Charging; Swimming Pool; Park; Visitor Parking,4.1,Available in 30 Days,"Fictional 4 BHK apartment in Sector 128, Noida. 2570 sq ft home with semi-furnished interiors, no dedicated parking, approximately 4.1 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1077,3 BHK Apartment in Noida Central,Noida,Sector 74,Apartment,3,10850000,1690,6,20,True,Unfurnished,EV Charging; Visitor Parking; Community Hall; 24x7 Security; Swimming Pool; Children's Play Area; Lift; CCTV; Clubhouse,3.7,Available in 30 Days,"Fictional 3 BHK apartment in Sector 74, Noida. 1690 sq ft home with unfurnished interiors, dedicated parking, approximately 3.7 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1078,3 BHK Apartment in Sky Gardens,Noida,Sector 62,Apartment,3,7700000,1700,1,20,False,Fully Furnished,CCTV; Intercom; Children's Play Area; Gym; EV Charging; Jogging Track; Visitor Parking; Power Backup,0.8,Available in 30 Days,"Fictional 3 BHK apartment in Sector 62, Noida. 1700 sq ft home with fully furnished interiors, no dedicated parking, approximately 0.8 km from the nearest metro connection. Located near Noida with a range of community amenities."
PROP-1079,2 BHK Villa in Urban Grandeur,Noida,Sector 143,Villa,2,6700000,1250,4,15,True,Fully Furnished,Children's Play Area; Power Backup; Community Hall; CCTV; Visitor Parking; 24x7 Security; Clubhouse; Gym; Intercom; Park,3.9,Available Now,"Fictional 2 BHK villa in Sector 143, Noida. 1250 sq ft home with fully furnished interiors, dedicated parking, approximately 3.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1080,3 BHK Apartment in Garden View,Noida,Sector 134,Apartment,3,8700000,1490,12,32,True,Unfurnished,Community Hall; Visitor Parking; Park; Gym; Lift; Intercom; Swimming Pool; Power Backup,4.4,Available Now,"Fictional 3 BHK apartment in Sector 134, Noida. 1490 sq ft home with unfurnished interiors, dedicated parking, approximately 4.4 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1081,3 BHK Builder Floor in Elite Residency,Noida,Sector 75,Builder Floor,3,8650000,1860,5,20,True,Fully Furnished,Gym; 24x7 Security; Visitor Parking; CCTV; Lift; Clubhouse; Jogging Track,2.1,Available Now,"Fictional 3 BHK builder floor in Sector 75, Noida. 1860 sq ft home with fully furnished interiors, dedicated parking, approximately 2.1 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1082,2 BHK Apartment in Lakeview Towers,Noida,Sector 78,Apartment,2,6800000,1290,7,20,True,Fully Furnished,Visitor Parking; EV Charging; 24x7 Security; Jogging Track; Gym; Intercom,3.9,Available in 30 Days,"Fictional 2 BHK apartment in Sector 78, Noida. 1290 sq ft home with fully furnished interiors, dedicated parking, approximately 3.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1083,4 BHK Apartment in Modern Heights,Noida,Sector 137,Apartment,4,16000000,2300,27,32,True,Semi-Furnished,Jogging Track; Swimming Pool; Lift; Children's Play Area; 24x7 Security; Visitor Parking; CCTV,1.8,Available Now,"Fictional 4 BHK apartment in Sector 137, Noida. 2300 sq ft home with semi-furnished interiors, dedicated parking, approximately 1.8 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1084,3 BHK Apartment in Green Valley,Noida,Sector 150,Apartment,3,8600000,1820,16,20,True,Fully Furnished,Visitor Parking; EV Charging; Jogging Track; Children's Play Area; CCTV; Gym; Intercom; Power Backup,4.5,Available in 60 Days,"Fictional 3 BHK apartment in Sector 150, Noida. 1820 sq ft home with fully furnished interiors, dedicated parking, approximately 4.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1085,3 BHK Apartment in Noida Central,Noida,Sector 120,Apartment,3,11000000,1710,19,24,True,Semi-Furnished,CCTV; Lift; Park; Swimming Pool; Visitor Parking; Gym; Intercom; Clubhouse,5.0,Available in 30 Days,"Fictional 3 BHK apartment in Sector 120, Noida. 1710 sq ft home with semi-furnished interiors, dedicated parking, approximately 5.0 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1086,3 BHK Villa in Sky Gardens,Noida,Sector 128,Villa,3,11200000,1570,24,24,True,Unfurnished,Power Backup; Gym; Children's Play Area; CCTV; Jogging Track; Lift; Swimming Pool; 24x7 Security; Community Hall; Park,5.7,Available Now,"Fictional 3 BHK villa in Sector 128, Noida. 1570 sq ft home with unfurnished interiors, dedicated parking, approximately 5.7 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1087,4 BHK Villa in Urban Grandeur,Noida,Sector 74,Villa,4,13600000,2300,7,28,True,Semi-Furnished,Children's Play Area; EV Charging; Clubhouse; Jogging Track; 24x7 Security; Swimming Pool; Visitor Parking; Community Hall; Intercom; Power Backup,2.7,Available in 60 Days,"Fictional 4 BHK villa in Sector 74, Noida. 2300 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.7 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1088,3 BHK Apartment in Garden View,Noida,Sector 62,Apartment,3,8100000,1420,13,15,True,Semi-Furnished,Community Hall; Clubhouse; Jogging Track; Swimming Pool; Park; Power Backup; Visitor Parking; Children's Play Area,1.2,Available Now,"Fictional 3 BHK apartment in Sector 62, Noida. 1420 sq ft home with semi-furnished interiors, dedicated parking, approximately 1.2 km from the nearest metro connection. Located near Noida with a range of community amenities."
PROP-1089,4 BHK Apartment in Elite Residency,Noida,Sector 143,Apartment,4,11150000,2720,13,32,True,Unfurnished,Swimming Pool; EV Charging; 24x7 Security; Clubhouse; Power Backup; Jogging Track; Community Hall,3.9,Available in 30 Days,"Fictional 4 BHK apartment in Sector 143, Noida. 2720 sq ft home with unfurnished interiors, dedicated parking, approximately 3.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1090,4 BHK Apartment in Lakeview Towers,Noida,Sector 134,Apartment,4,16200000,2680,5,28,True,Unfurnished,EV Charging; Clubhouse; Children's Play Area; Swimming Pool; Gym; Power Backup; CCTV; Community Hall,5.0,Available Now,"Fictional 4 BHK apartment in Sector 134, Noida. 2680 sq ft home with unfurnished interiors, dedicated parking, approximately 5.0 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1091,2 BHK Apartment in Modern Heights,Noida,Sector 75,Apartment,2,7350000,1110,6,10,False,Semi-Furnished,CCTV; Gym; Jogging Track; EV Charging; Lift; 24x7 Security,3.5,Available in 30 Days,"Fictional 2 BHK apartment in Sector 75, Noida. 1110 sq ft home with semi-furnished interiors, no dedicated parking, approximately 3.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1092,3 BHK Apartment in Green Valley,Noida,Sector 78,Apartment,3,11150000,1830,5,10,True,Semi-Furnished,Intercom; Jogging Track; Children's Play Area; Community Hall; Visitor Parking; CCTV; 24x7 Security; Power Backup,3.7,Available Now,"Fictional 3 BHK apartment in Sector 78, Noida. 1830 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.7 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1093,4 BHK Penthouse in Noida Central,Noida,Sector 137,Penthouse,4,13450000,2500,10,12,False,Semi-Furnished,Clubhouse; Park; Children's Play Area; Visitor Parking; Lift; EV Charging; Intercom; Power Backup; Community Hall,2.2,Available Now,"Fictional 4 BHK penthouse in Sector 137, Noida. 2500 sq ft home with semi-furnished interiors, no dedicated parking, approximately 2.2 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1094,3 BHK Apartment in Sky Gardens,Noida,Sector 150,Apartment,3,8950000,1840,14,20,False,Fully Furnished,Power Backup; Gym; CCTV; Jogging Track; Visitor Parking; Intercom; EV Charging; Swimming Pool; Park,5.4,Available Now,"Fictional 3 BHK apartment in Sector 150, Noida. 1840 sq ft home with fully furnished interiors, no dedicated parking, approximately 5.4 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1095,3 BHK Apartment in Urban Grandeur,Noida,Sector 120,Apartment,3,8650000,1800,13,28,True,Semi-Furnished,Swimming Pool; Clubhouse; Visitor Parking; 24x7 Security; Lift; Gym; Jogging Track; CCTV; EV Charging,4.9,Available in 30 Days,"Fictional 3 BHK apartment in Sector 120, Noida. 1800 sq ft home with semi-furnished interiors, dedicated parking, approximately 4.9 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1096,3 BHK Villa in Garden View,Noida,Sector 128,Villa,3,9700000,1670,1,10,True,Semi-Furnished,Community Hall; Gym; 24x7 Security; EV Charging; Power Backup; Jogging Track; Park; Swimming Pool; Lift; Clubhouse,4.8,Available Now,"Fictional 3 BHK villa in Sector 128, Noida. 1670 sq ft home with semi-furnished interiors, dedicated parking, approximately 4.8 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1097,3 BHK Apartment in Elite Residency,Noida,Sector 74,Apartment,3,10750000,1430,27,32,True,Semi-Furnished,CCTV; Intercom; Gym; Park; 24x7 Security; Children's Play Area; Clubhouse,2.5,Available in 30 Days,"Fictional 3 BHK apartment in Sector 74, Noida. 1430 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1098,2 BHK Apartment in Lakeview Towers,Noida,Sector 62,Apartment,2,6950000,1240,29,32,False,Fully Furnished,Community Hall; Swimming Pool; Children's Play Area; CCTV; Power Backup; Lift; Intercom; 24x7 Security; Park; Visitor Parking,2.2,Available Now,"Fictional 2 BHK apartment in Sector 62, Noida. 1240 sq ft home with fully furnished interiors, no dedicated parking, approximately 2.2 km from the nearest metro connection. Located near Noida with a range of community amenities."
PROP-1099,3 BHK Villa in Modern Heights,Noida,Sector 143,Villa,3,11200000,1870,9,10,True,Semi-Furnished,Lift; Jogging Track; Gym; Power Backup; Visitor Parking; Clubhouse; Swimming Pool; Community Hall,5.0,Available in 30 Days,"Fictional 3 BHK villa in Sector 143, Noida. 1870 sq ft home with semi-furnished interiors, dedicated parking, approximately 5.0 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1100,3 BHK Apartment in Green Valley,Noida,Sector 134,Apartment,3,8850000,1740,3,12,True,Unfurnished,Lift; Gym; Community Hall; Power Backup; Visitor Parking; Intercom; CCTV; Park; Children's Play Area,3.6,Available Now,"Fictional 3 BHK apartment in Sector 134, Noida. 1740 sq ft home with unfurnished interiors, dedicated parking, approximately 3.6 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1101,3 BHK Villa in Green Court,Delhi,Dwarka Sector 6,Villa,3,14900000,1660,1,10,False,Unfurnished,Intercom; Power Backup; Clubhouse; EV Charging; Lift; 24x7 Security; Children's Play Area; Jogging Track; Gym,1.1,Available in 30 Days,"Fictional 3 BHK villa in Dwarka Sector 6, Delhi. 1660 sq ft home with unfurnished interiors, no dedicated parking, approximately 1.1 km from the nearest metro connection. Located near Dwarka with a range of community amenities."
PROP-1102,3 BHK Apartment in Urban Enclave,Delhi,Dwarka Sector 10,Apartment,3,10750000,1610,26,28,False,Unfurnished,Park; Swimming Pool; Lift; 24x7 Security; CCTV; Intercom; EV Charging; Jogging Track,2.0,Available Now,"Fictional 3 BHK apartment in Dwarka Sector 10, Delhi. 1610 sq ft home with unfurnished interiors, no dedicated parking, approximately 2.0 km from the nearest metro connection. Located near Dwarka with a range of community amenities."
PROP-1103,2 BHK Apartment in The Grand Homes,Delhi,Rohini Sector 9,Apartment,2,8400000,990,8,15,True,Unfurnished,Intercom; Jogging Track; Lift; CCTV; Community Hall; EV Charging,0.8,Available Now,"Fictional 2 BHK apartment in Rohini Sector 9, Delhi. 990 sq ft home with unfurnished interiors, dedicated parking, approximately 0.8 km from the nearest metro connection. Located near Rohini with a range of community amenities."
PROP-1104,3 BHK Builder Floor in Delhi Residency,Delhi,Rohini Sector 13,Builder Floor,3,10500000,1610,4,24,True,Semi-Furnished,Visitor Parking; Intercom; Jogging Track; Clubhouse; 24x7 Security; Children's Play Area; EV Charging; Gym,3.0,Available in 30 Days,"Fictional 3 BHK builder floor in Rohini Sector 13, Delhi. 1610 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.0 km from the nearest metro connection. Located near Rohini with a range of community amenities."
PROP-1105,2 BHK Apartment in Royal Residency,Delhi,Saket,Apartment,2,7050000,1090,27,32,True,Unfurnished,CCTV; EV Charging; Children's Play Area; Visitor Parking; Clubhouse; Community Hall; Intercom,1.9,Available Now,"Fictional 2 BHK apartment in Saket, Delhi. 1090 sq ft home with unfurnished interiors, dedicated parking, approximately 1.9 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1106,4 BHK Penthouse in Capital Heights,Delhi,Vasant Kunj,Penthouse,4,16100000,2030,5,8,False,Fully Furnished,Power Backup; Community Hall; Children's Play Area; CCTV; Clubhouse; EV Charging,3.5,Available Now,"Fictional 4 BHK penthouse in Vasant Kunj, Delhi. 2030 sq ft home with fully furnished interiors, no dedicated parking, approximately 3.5 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1107,3 BHK Penthouse in Park View Homes,Delhi,Mayur Vihar,Penthouse,3,14450000,1790,9,12,True,Semi-Furnished,Park; Jogging Track; Visitor Parking; Gym; Community Hall; Swimming Pool; Lift; CCTV,2.6,Available in 30 Days,"Fictional 3 BHK penthouse in Mayur Vihar, Delhi. 1790 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.6 km from the nearest metro connection. Located near East Delhi with a range of community amenities."
PROP-1108,3 BHK Villa in City Heights,Delhi,Greater Kailash 2,Villa,3,10450000,1810,6,24,True,Semi-Furnished,Power Backup; Clubhouse; Visitor Parking; Lift; EV Charging; Children's Play Area; Gym,3.2,Available Now,"Fictional 3 BHK villa in Greater Kailash 2, Delhi. 1810 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.2 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1109,4 BHK Apartment in Green Court,Delhi,Janakpuri,Apartment,4,16300000,2540,30,32,True,Semi-Furnished,Visitor Parking; Jogging Track; Clubhouse; Children's Play Area; Power Backup; Swimming Pool; EV Charging; Park; Community Hall; CCTV,0.7,Available Now,"Fictional 4 BHK apartment in Janakpuri, Delhi. 2540 sq ft home with semi-furnished interiors, dedicated parking, approximately 0.7 km from the nearest metro connection. Located near West Delhi with a range of community amenities."
PROP-1110,2 BHK Apartment in Urban Enclave,Delhi,Pitampura,Apartment,2,6950000,1200,5,8,False,Unfurnished,Swimming Pool; Intercom; Clubhouse; Power Backup; Visitor Parking; Children's Play Area; CCTV,2.9,Available in 30 Days,"Fictional 2 BHK apartment in Pitampura, Delhi. 1200 sq ft home with unfurnished interiors, no dedicated parking, approximately 2.9 km from the nearest metro connection. Located near North West Delhi with a range of community amenities."
PROP-1111,3 BHK Builder Floor in The Grand Homes,Delhi,Dwarka Sector 6,Builder Floor,3,12300000,1560,10,10,False,Fully Furnished,EV Charging; Swimming Pool; Children's Play Area; Clubhouse; Park; Intercom; Jogging Track,2.0,Available in 60 Days,"Fictional 3 BHK builder floor in Dwarka Sector 6, Delhi. 1560 sq ft home with fully furnished interiors, no dedicated parking, approximately 2.0 km from the nearest metro connection. Located near Dwarka with a range of community amenities."
PROP-1112,3 BHK Apartment in Delhi Residency,Delhi,Dwarka Sector 10,Apartment,3,11950000,1510,14,24,True,Semi-Furnished,EV Charging; Gym; Park; Visitor Parking; Community Hall; Swimming Pool; Children's Play Area; Lift; CCTV,1.7,Available in 30 Days,"Fictional 3 BHK apartment in Dwarka Sector 10, Delhi. 1510 sq ft home with semi-furnished interiors, dedicated parking, approximately 1.7 km from the nearest metro connection. Located near Dwarka with a range of community amenities."
PROP-1113,3 BHK Apartment in Royal Residency,Delhi,Rohini Sector 9,Apartment,3,11850000,1800,9,12,False,Semi-Furnished,Intercom; Power Backup; Lift; Gym; Visitor Parking; EV Charging,2.1,Available in 30 Days,"Fictional 3 BHK apartment in Rohini Sector 9, Delhi. 1800 sq ft home with semi-furnished interiors, no dedicated parking, approximately 2.1 km from the nearest metro connection. Located near Rohini with a range of community amenities."
PROP-1114,4 BHK Apartment in Capital Heights,Delhi,Rohini Sector 13,Apartment,4,25350000,2600,15,18,True,Fully Furnished,Gym; 24x7 Security; CCTV; Children's Play Area; Jogging Track; Swimming Pool; Visitor Parking,2.0,Available Now,"Fictional 4 BHK apartment in Rohini Sector 13, Delhi. 2600 sq ft home with fully furnished interiors, dedicated parking, approximately 2.0 km from the nearest metro connection. Located near Rohini with a range of community amenities."
PROP-1115,3 BHK Apartment in Park View Homes,Delhi,Saket,Apartment,3,15500000,1670,14,18,True,Fully Furnished,Power Backup; CCTV; Swimming Pool; 24x7 Security; Clubhouse; Lift; Intercom; Park; Community Hall; Jogging Track,2.6,Available Now,"Fictional 3 BHK apartment in Saket, Delhi. 1670 sq ft home with fully furnished interiors, dedicated parking, approximately 2.6 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1116,3 BHK Apartment in City Heights,Delhi,Vasant Kunj,Apartment,3,12600000,1500,1,18,True,Fully Furnished,Visitor Parking; Jogging Track; 24x7 Security; Power Backup; CCTV; Swimming Pool; Children's Play Area; EV Charging; Park,1.9,Available in 60 Days,"Fictional 3 BHK apartment in Vasant Kunj, Delhi. 1500 sq ft home with fully furnished interiors, dedicated parking, approximately 1.9 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1117,2 BHK Apartment in Green Court,Delhi,Mayur Vihar,Apartment,2,7650000,1180,9,32,True,Semi-Furnished,Children's Play Area; Intercom; Swimming Pool; 24x7 Security; EV Charging; Lift; Power Backup; Jogging Track,3.1,Available in 30 Days,"Fictional 2 BHK apartment in Mayur Vihar, Delhi. 1180 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.1 km from the nearest metro connection. Located near East Delhi with a range of community amenities."
PROP-1118,3 BHK Apartment in Urban Enclave,Delhi,Greater Kailash 2,Apartment,3,15450000,1940,1,28,False,Unfurnished,Park; CCTV; Community Hall; Power Backup; EV Charging; Clubhouse; Visitor Parking; Lift,3.5,Available in 30 Days,"Fictional 3 BHK apartment in Greater Kailash 2, Delhi. 1940 sq ft home with unfurnished interiors, no dedicated parking, approximately 3.5 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1119,2 BHK Apartment in The Grand Homes,Delhi,Janakpuri,Apartment,2,9050000,1130,3,28,True,Unfurnished,Community Hall; Clubhouse; Children's Play Area; Intercom; Visitor Parking; Lift; Swimming Pool; Power Backup; Park; Jogging Track,1.6,Available in 60 Days,"Fictional 2 BHK apartment in Janakpuri, Delhi. 1130 sq ft home with unfurnished interiors, dedicated parking, approximately 1.6 km from the nearest metro connection. Located near West Delhi with a range of community amenities."
PROP-1120,3 BHK Apartment in Delhi Residency,Delhi,Pitampura,Apartment,3,12300000,1930,4,12,False,Fully Furnished,Power Backup; Lift; Visitor Parking; Children's Play Area; CCTV; Clubhouse; Gym; Park; Swimming Pool; Community Hall,1.3,Available Now,"Fictional 3 BHK apartment in Pitampura, Delhi. 1930 sq ft home with fully furnished interiors, no dedicated parking, approximately 1.3 km from the nearest metro connection. Located near North West Delhi with a range of community amenities."
PROP-1121,3 BHK Apartment in Royal Residency,Delhi,Dwarka Sector 6,Apartment,3,10250000,1630,14,28,True,Semi-Furnished,Gym; Children's Play Area; Power Backup; 24x7 Security; Community Hall; Intercom; EV Charging; Visitor Parking; Lift,2.8,Available in 30 Days,"Fictional 3 BHK apartment in Dwarka Sector 6, Delhi. 1630 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.8 km from the nearest metro connection. Located near Dwarka with a range of community amenities."
PROP-1122,3 BHK Penthouse in Capital Heights,Delhi,Dwarka Sector 10,Penthouse,3,15350000,1550,25,28,False,Fully Furnished,Swimming Pool; Power Backup; CCTV; Community Hall; Visitor Parking; 24x7 Security; Intercom,1.5,Available Now,"Fictional 3 BHK penthouse in Dwarka Sector 10, Delhi. 1550 sq ft home with fully furnished interiors, no dedicated parking, approximately 1.5 km from the nearest metro connection. Located near Dwarka with a range of community amenities."
PROP-1123,3 BHK Penthouse in Park View Homes,Delhi,Rohini Sector 9,Penthouse,3,11050000,1900,5,18,True,Fully Furnished,Park; Community Hall; EV Charging; 24x7 Security; Visitor Parking; Gym; Swimming Pool,2.7,Available Now,"Fictional 3 BHK penthouse in Rohini Sector 9, Delhi. 1900 sq ft home with fully furnished interiors, dedicated parking, approximately 2.7 km from the nearest metro connection. Located near Rohini with a range of community amenities."
PROP-1124,3 BHK Apartment in City Heights,Delhi,Rohini Sector 13,Apartment,3,11200000,1900,13,24,True,Semi-Furnished,Community Hall; CCTV; Gym; Lift; Clubhouse; EV Charging; Children's Play Area; 24x7 Security; Intercom; Visitor Parking,3.1,Available in 60 Days,"Fictional 3 BHK apartment in Rohini Sector 13, Delhi. 1900 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.1 km from the nearest metro connection. Located near Rohini with a range of community amenities."
PROP-1125,3 BHK Apartment in Green Court,Delhi,Saket,Apartment,3,13350000,1820,19,20,True,Fully Furnished,Visitor Parking; Gym; Power Backup; CCTV; Children's Play Area; EV Charging; Community Hall; Park,2.2,Available Now,"Fictional 3 BHK apartment in Saket, Delhi. 1820 sq ft home with fully furnished interiors, dedicated parking, approximately 2.2 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
PROP-1126,3 BHK Apartment in Urban Enclave,Delhi,Vasant Kunj,Apartment,3,13850000,1420,22,32,True,Unfurnished,Jogging Track; Gym; Children's Play Area; Community Hall; Intercom; Visitor Parking; 24x7 Security; Park; Lift,3.4,Available in 30 Days,"Fictional 3 BHK apartment in Vasant Kunj, Delhi. 1420 sq ft home with unfurnished interiors, dedicated parking, approximately 3.4 km from the nearest metro connection. Located near South Delhi with a range of community amenities."
